variant,method,iterations,train_seconds,final_mean_score,best_val_score,reached_criterion,iterations_to_criterion,seconds_to_criterion,extended_iterations,final_val_win_rate,tournament_score,tournament_win_rate,tournament_survival,tournament_kills,lines_of_code
imitation_xavier_uniform,imitation,70,90.3,1.3293229472816754,2.6489599225678337,True,70.0,90.29201292991638,0,1.0,-0.3576796335844634,0.16,174.49333333333334,0.64,525
imitation_he_uniform,imitation,28,38.6,1.7836356262186837,2.0605860372405,True,28.0,38.63427805900574,0,1.0,-0.8026807891757721,0.013333333333333334,161.04888888888888,0.31555555555555553,525
imitation_zeros,imitation,80,102.3,-2.0809420289855063,-2.0809420289855063,False,,,0,0.0,-2.0714101986044007,0.0,78.85111111111111,0.0,525
ppo_xavier_uniform,ppo,80,359.7,-0.12674538485283224,1.7946592545320694,False,,,0,0.0,0.054591706489405506,0.17333333333333334,216.97555555555556,0.3688888888888889,894
ppo_he_uniform,ppo,80,354.6,-0.8407838223993905,1.481766925172091,False,,,0,0.0,-0.21687710121570097,0.05333333333333334,200.89555555555555,0.11333333333333333,894
ppo_zeros,ppo,80,791.7,-1.8403449074074067,-1.547129629629629,False,,,0,0.0,-2.0714101986044007,0.0,78.85111111111111,0.0,894
