variant,method,iterations,train_seconds,final_mean_score,best_val_score,reached_criterion,iterations_to_criterion,seconds_to_criterion,extended_iterations,final_val_win_rate,tournament_score,tournament_win_rate,tournament_survival,tournament_kills,lines_of_code
reinforce_learning_rate_0.001,reinforce,150,383.3,-1.124911466512569,-0.9515509259259254,False,,,0,0.0,-1.6848586345430725,0.0,107.80888888888889,0.0022222222222222222,759
reinforce_learning_rate_0.003,reinforce,150,459.5,0.1307738647496494,-0.05550925925925926,False,,,0,0.0,-1.7287869625478323,0.0,96.06666666666666,0.008888888888888889,759
reinforce_learning_rate_0.01,reinforce,150,413.4,-1.149887621958776,-0.13973214285714539,False,,,0,0.0,-1.7632018499490636,0.0,94.89333333333333,0.006666666666666667,759
reinforce_entropy_bonus_0.01,reinforce,150,432.4,-1.124911466512569,-0.9515509259259254,False,,,0,0.0,-1.6848586345430725,0.0,107.80888888888889,0.0022222222222222222,759
reinforce_entropy_bonus_0.001,reinforce,150,420.7,-0.502035215295842,-1.034953703703703,False,,,0,0.0,-1.77269984855526,0.0,96.08222222222223,0.0022222222222222222,759
reinforce_episodes_per_epoch_4,reinforce,150,433.0,-1.124911466512569,-0.9515509259259254,False,,,0,0.0,-1.6848586345430725,0.0,107.80888888888889,0.0022222222222222222,759
reinforce_episodes_per_epoch_16,reinforce,150,571.3,-0.3458023738382303,-0.42023148148148143,False,,,0,0.0,-1.7013536283142987,0.0,105.36,0.008888888888888889,759
ppo_learning_rate_0.001,ppo,150,454.2,0.9114844534240651,0.15695436507936214,False,,,0,0.0,-1.4455993386909933,0.0,121.24222222222222,0.015555555555555555,900
ppo_learning_rate_0.003,ppo,150,500.7,-0.29285925152083253,0.012071428571428289,False,,,0,0.0,-1.5854309697107045,0.0,116.13111111111111,0.011111111111111112,900
ppo_learning_rate_0.01,ppo,150,1565.4,-1.1874576554126317,-1.1448148148148138,False,,,0,0.0,-1.8208712204652011,0.0,102.02222222222223,0.0022222222222222222,900
ppo_entropy_bonus_0.01,ppo,150,492.0,0.9114844534240651,0.15695436507936214,False,,,0,0.0,-1.4455993386909933,0.0,121.24222222222222,0.015555555555555555,900
ppo_entropy_bonus_0.001,ppo,150,427.6,-0.1640825938658731,0.17715608465608126,False,,,0,0.0,-1.2672639732706896,0.0,133.87555555555556,0.013333333333333334,900
ppo_episodes_per_epoch_4,ppo,150,399.3,0.9114844534240651,0.15695436507936214,False,,,0,0.0,-1.4455993386909933,0.0,121.24222222222222,0.015555555555555555,900
ppo_episodes_per_epoch_16,ppo,150,2276.8,0.8557066974591067,2.2391056094096755,False,,,0,0.5,0.6773679979461075,0.05333333333333334,209.09555555555556,0.006666666666666667,900
