variant,wins,games,win_rate,ci_low,ci_high
imitation_16,0,75,0.0,0.0,0.04872554590470005
imitation_64x32,12,75,0.16,0.09396421323774289,0.25916915797745316
imitation_128x64,9,75,0.12,0.06443298969072164,0.2125984251968504
ppo_16,18,75,0.24,0.15754748728758244,0.3477897965828615
ppo_64x32,13,75,0.17333333333333334,0.10419048023286545,0.2743102097582053
ppo_128x64,10,75,0.13333333333333333,0.0740650509941473,0.22833368266929943
