variant,method,iterations,train_seconds,final_mean_score,best_val_score,reached_criterion,iterations_to_criterion,seconds_to_criterion,extended_iterations,final_val_win_rate,tournament_score,tournament_win_rate,tournament_survival,tournament_kills,lines_of_code
imitation_16,imitation,80,1125.8,-1.2009363929146548,0.0716203703703691,False,,,0,0.0,-1.3496286283684602,0.0,122.89555555555556,0.20222222222222222,525
imitation_64x32,imitation,70,74.5,1.3293229472816754,2.6489599225678337,True,70.0,74.47171998023987,0,1.0,-0.3576796335844634,0.16,174.49333333333334,0.64,525
imitation_128x64,imitation,60,76.2,1.375967901806337,3.036844704397265,True,60.0,76.15246224403381,0,1.0,-0.6436075413348077,0.12,172.04444444444445,0.6111111111111112,525
ppo_16,ppo,80,260.9,0.08916651137661846,2.478323064182328,False,,,0,0.5,0.4294595143860263,0.24,214.65777777777777,0.29777777777777775,894
ppo_64x32,ppo,80,339.2,-0.12674538485283224,1.7946592545320694,False,,,0,0.0,0.054591706489405506,0.17333333333333334,216.97555555555556,0.3688888888888889,894
ppo_128x64,ppo,80,357.2,-0.9515143157109353,1.5125750293869151,False,,,0,0.0,-0.7354180408415737,0.13333333333333333,157.4,0.6733333333333333,894
