variant,iterations,survival_slope_per_100,survival_p,survival_r2,score_slope_per_100,score_p,score_r2,entropy_slope_per_100,entropy_p,entropy_r2,val_win_slope_per_100,val_win_p,val_win_r2,first,last
reinforce_learning_rate_0.001,150,26.26830822110613,2.2826798540954784e-31,0.6014729761480215,0.605488581831844,1.6309685410195248e-19,0.4250181294429781,-0.11404229854868084,2.338141657091679e-61,0.8429039861507657,0.0,,,114.08333333333333,131.79166666666666
reinforce_learning_rate_0.003,150,37.74704801694891,6.909438579781364e-42,0.7123954207669876,0.905584940462762,5.7988532800444845e-30,0.5837473362281069,-0.20908217114225539,9.493221791112332e-58,0.8242624066651839,0.0058669274189964,0.590401332192473,0.001962249373245415,114.08333333333333,155.5
reinforce_learning_rate_0.01,150,19.70741662592411,1.5381042601797838e-08,0.19504233113661432,0.31106793485498185,0.00012000155981970323,0.09542116183899066,-0.4266157299894244,6.283628785636489e-29,0.5701921467944074,0.008444819769767546,0.27409885459156774,0.00807642159189179,114.08333333333333,129.04166666666666
reinforce_entropy_bonus_0.01,150,26.26830822110613,2.2826798540954784e-31,0.6014729761480215,0.605488581831844,1.6309685410195248e-19,0.4250181294429781,-0.11404229854868084,2.338141657091679e-61,0.8429039861507657,0.0,,,114.08333333333333,131.79166666666666
reinforce_entropy_bonus_0.001,150,28.20512022756566,5.697458148039563e-34,0.6323546305121415,0.615864149415294,4.924943402609242e-19,0.41644464992986674,-0.1833545058362861,4.430559542089788e-67,0.8685012284499283,0.0,,,114.08333333333333,124.5
reinforce_episodes_per_epoch_4,150,26.26830822110613,2.2826798540954784e-31,0.6014729761480215,0.605488581831844,1.6309685410195248e-19,0.4250181294429781,-0.11404229854868084,2.338141657091679e-61,0.8429039861507657,0.0,,,114.08333333333333,131.79166666666666
reinforce_episodes_per_epoch_16,150,37.750468539342485,1.970953485928926e-72,0.8886560518701583,0.8811258263641878,4.643479685244907e-50,0.7768458807614363,-0.09970467712739195,4.545336606908979e-33,0.6219328126802991,-0.001511178274589981,0.8451377064446762,0.00025862446981237926,96.25,134.76041666666666
ppo_learning_rate_0.001,150,42.90783294072329,4.725541218569256e-25,0.5154186222704457,0.829259156229936,7.991106295547054e-15,0.33569782705015566,-0.2548871734015532,2.9133718373556082e-28,0.5612355219898427,0.0525356682519223,0.00802651523470719,0.04652634356176733,114.08333333333333,202.41666666666666
ppo_learning_rate_0.003,150,35.8648606604738,3.820469807671001e-20,0.4360904884817292,0.6481112204199555,4.049193610850522e-09,0.20908040374732054,-0.3276367446406269,9.399264630775376e-29,0.5678585983099441,0.024712209431530293,0.10512749120183182,0.017645533104363217,114.08333333333333,184.75
ppo_learning_rate_0.01,150,16.369764582129566,1.1326060418087814e-09,0.22227676385574532,0.34427387259920345,2.9023220336760152e-05,0.11175607424373968,-0.32822853825525755,1.145743988749822e-33,0.6288808554384403,0.0,,,114.08333333333333,143.625
ppo_entropy_bonus_0.01,150,42.90783294072329,4.725541218569256e-25,0.5154186222704457,0.829259156229936,7.991106295547054e-15,0.33569782705015566,-0.2548871734015532,2.9133718373556082e-28,0.5612355219898427,0.0525356682519223,0.00802651523470719,0.04652634356176733,114.08333333333333,202.41666666666666
ppo_entropy_bonus_0.001,150,50.247381365097695,8.305871944128318e-28,0.5550123000374453,0.9730946171733914,3.421351137116398e-22,0.47063865981960573,-0.6306189204181093,1.8732439991059972e-54,0.805317452768251,0.0730699142184097,0.004071805124617985,0.05440531656479414,114.08333333333333,171.625
ppo_episodes_per_epoch_4,150,42.90783294072329,4.725541218569256e-25,0.5154186222704457,0.829259156229936,7.991106295547054e-15,0.33569782705015566,-0.2548871734015532,2.9133718373556082e-28,0.5612355219898427,0.0525356682519223,0.00802651523470719,0.04652634356176733,114.08333333333333,202.41666666666666
ppo_episodes_per_epoch_16,150,49.68980843593049,1.2732098321996463e-32,0.6166552144419994,0.6016841621060667,2.0131495237202553e-10,0.2398508481771249,-0.34055837212971657,8.699569023131604e-62,0.8449863461547267,0.07547002088981732,0.07372278468662236,0.021448576568440608,96.25,221.625
