variant,wins,games,win_rate,ci_low,ci_high
imitation,12,75,0.16,0.09396421323774289,0.25916915797745316
genetic_cold,0,75,0.0,0.0,0.04872554590470005
genetic_warm,2,75,0.02666666666666667,0.00734353502360055,0.09211664843284882
neat,0,75,0.0,0.0,0.04872554590470005
reinforce_cold,0,75,0.0,0.0,0.04872554590470005
reinforce_warm,13,75,0.17333333333333334,0.10419048023286545,0.2743102097582053
ppo_cold,5,75,0.06666666666666667,0.028809638090317204,0.14675250169375617
ppo_warm,2,75,0.02666666666666667,0.00734353502360055,0.09211664843284882
